player,pos,age,team,team_g,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,offensive_raptor,defensive_raptor
Norvel Pelle,C,26,PHI,50,22.96,0,11.1,1.1,1.9,0.556,0,0,0,1.1,1.9,0.556,0.556,0.4,0.7,0.5,0.9,2.8,3.6,0.5,0.1,1.5,0.8,2.2,2.5,11.5,0.557,0,0.37,8.6,27.3,18,6,0.3,11.4,25.9,11.7,0,0.656,0.492,0.101,-6.5,6.3,-0.2,0.164,-4.806052176,0.028169243
Theo Pinson,SG,24,BRK,48,46.125,0,12.3,1.6,5.5,0.297,0.6,2.8,0.197,1.1,2.7,0.403,0.348,0.6,0.6,0.938,0.3,1.4,1.7,1.7,0.6,0.1,1.2,1.1,4.4,4.9,0.381,0.514,0.108,2.9,11.2,7.1,20.6,2.1,0.5,17.1,23.6,-1.708333333,0.683333333,-1.025,-0.09,-6.2,-1.1,-7.3,-0.683333333,-5.137726268,1.838588562
Mason Plumlee,C,29,DEN,49,71.95918367,1.673469388,17.4,3,4.9,0.605,0,0.1,0,3,4.8,0.617,0.605,1.5,2.7,0.553,1.8,3.7,5.6,2.4,0.5,0.6,1.5,2.2,7.4,19.2,0.609,0.019,0.543,11.4,23.6,17.5,20.5,1.5,3.3,19.5,18.6,2.342857143,2.008163265,4.183673469,0.163,0,2.9,3,1.506122449,-0.365877363,0.08462276
Vincent Poirier,C,26,BOS,48,27.33333333,0,5.8,0.7,1.6,0.423,0.1,0.1,0.5,0.6,1.5,0.417,0.442,0.3,0.4,0.833,0.6,1.3,1.9,0.3,0.1,0.4,0.3,1.3,1.8,11.5,0.489,0.077,0.231,10.6,24.4,17.5,7.4,1,5.9,14.9,15.6,0,0.341666667,0.341666667,0.107,-4.7,2.8,-1.9,0,-5.443679341,-3.004711415
Jakob Poeltl,C,24,SAS,48,82,15.375,17.6,2.4,3.9,0.62,0,0,0,2.4,3.9,0.62,0.62,0.7,1.3,0.516,1.9,3.9,5.7,1.8,0.5,1.6,0.8,1.8,5.5,19.5,0.616,0,0.332,11.3,23.1,17.3,14.2,1.4,7.7,15.4,12.9,3.075,2.05,5.125,0.172,0.2,5,5.2,2.5625,1.064638532,3.655030751
Shamorie Ponds,PG,21,TOR,49,6.693877551,0,2.8,0.8,1.3,0.6,0.3,0.5,0.5,0.5,0.8,0.667,0.7,0.5,0.5,1,0,0.3,0.3,0.5,0,0.3,0,0.5,2.3,33.5,0.765,0.4,0.4,0,9.3,4.8,32.3,0,8.7,0,22.9,0.167346939,0,0.167346939,0.454,9.1,0,9.1,0,12.59606991,-30.33677082
Jordan Poole,SG,20,GSW,50,70.52,14.76,21.1,2.3,8.3,0.275,1.2,4.5,0.268,1.1,3.8,0.284,0.348,1.6,1.9,0.817,0.1,1.9,2,1.9,0.6,0.2,1,1.5,7.3,5,0.402,0.545,0.23,0.6,9.8,5,13.3,1.3,0.9,9.7,20.4,-2.788,0.492,-2.296,-0.074,-5.3,-2.8,-8,-2.296,-3.888224529,-1.56240103
Kevin Porter,SF,19,CLE,50,62.32,3.28,22,3.5,7.8,0.446,1,3,0.327,2.5,4.9,0.519,0.508,1.3,1.7,0.75,0.4,2.8,3.2,1.9,0.9,0.2,1.9,2.6,9.2,10.1,0.538,0.379,0.215,1.8,14.2,8,12.7,2,0.7,18.5,20.4,-0.82,0.656,-0.164,-0.005,-2.6,-1.1,-3.8,-0.656,-2.87443859,-2.070002747
Michael Porter,PF,21,DEN,49,65.26530612,1.673469388,14.3,3.1,6.1,0.508,1,2.3,0.432,2.1,3.8,0.553,0.588,0.8,1,0.795,1.1,3.3,4.4,0.7,0.4,0.5,0.8,1.7,8,20,0.609,0.37,0.164,8.4,25.4,16.9,8.2,1.5,3,10.5,22.1,1.673469388,1.506122449,3.179591837,0.168,0.6,0,0.6,0.669387755,2.407060722,-0.319563648
Otto Porter,SF,26,CHI,51,14.47058824,14.47058824,25.1,3.9,9.3,0.417,1.8,4.4,0.4,2.1,4.9,0.432,0.512,1.7,2.2,0.75,0.9,2.6,3.4,1.6,1,0.3,0.8,2.2,11.2,13.6,0.544,0.476,0.238,3.7,11.6,7.5,9.5,1.9,1.3,7,18.9,0.321568627,0.321568627,0.803921569,0.102,-0.6,-0.7,-1.3,0,0.163854177,-0.976535527
