Player,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,All-NBA,All-Star
Brandon Roy,POR,65,50,11,37.2,21.5,4.4,4.7,0.9,0.2,0.473,0.33,0.78,9.1,0.18,3.7,4.1,1,1
Andrew Bogut,MIL,69,46,14,32.3,15.9,10.2,1.8,0.6,2.5,0.52,0,0.629,7.5,0.161,3,3.4,1,0
Kobe Bryant,LAL,73,57,3,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,4,3.6,1,1
Kevin Durant,OKC,78,55,7,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189,3.7,2.9,1,1
Kobe Bryant,LAL,82,57,5,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,4.1,3.8,1,1
Chris Paul,NOH,80,46,12,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,6.1,6.4,1,1
Carmelo Anthony,DEN,77,50,9,35.7,25.6,7.3,2.9,0.9,0.6,0.455,0.378,0.838,7.9,0.138,1.8,0.5,0,1
Tim Duncan,SAS,76,61,2,28.4,13.4,8.9,2.7,0.7,1.9,0.5,0,0.716,7.7,0.171,3.2,3.8,0,1
Pau Gasol,LAL,82,57,5,37,18.8,10.2,3.3,0.6,1.6,0.529,0.333,0.823,14.7,0.232,5.6,5.3,1,1
Manu Ginobili,SAS,80,61,2,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,4.5,5.3,1,1
Deron Williams,UTA,65,39,18,37.9,20.1,4,10.3,1.2,0.2,0.439,0.331,0.845,7.3,0.142,3,2.8,0,1
Blake Griffin,LAC,82,32,23,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,4,3.2,0,1
Dirk Nowitzki,DAL,73,57,4,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,3.7,3.8,1,1
Russell Westbrook,OKC,82,55,7,34.7,21.9,4.6,8.2,1.9,0.4,0.442,0.33,0.842,9.4,0.159,5,5,1,1
