Player,Tm,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,All-NBA,All-Star
Michael Jordan,CHI,82,50,8,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,11.8,12.2,1,1
Isiah Thomas,DET,81,54,4,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124,3.3,2.5,0,1
Moses Malone,WSB,79,38,15,34.1,20.3,11.2,1.4,0.7,0.9,0.487,0.286,0.788,9.2,0.163,2.6,1.8,0,1
Danny Ainge,BOS,81,57,2,37.3,15.7,3.1,6.2,1.4,0.2,0.491,0.415,0.878,8.6,0.136,3.7,2.9,0,1
Patrick Ewing,NYK,82,38,14,31,20.2,8.2,1.5,1.3,3,0.555,0,0.716,8.1,0.154,4.1,4.4,1,1
Doc Rivers,ATL,80,50,7,31.3,14.2,4.6,9.3,1.8,0.5,0.453,0.273,0.758,8.3,0.159,4.3,4.9,0,1
Brad Daugherty,CLE,79,42,12,37.4,18.7,8.4,4.2,0.6,0.7,0.51,0,0.716,6.6,0.107,2.5,1.3,0,1
Charles Barkley,PHI,80,36,17,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,8.7,9,1,1
Kevin McHale,BOS,64,57,2,37.3,22.6,8.4,2.7,0.4,1.4,0.604,0,0.797,10.2,0.205,3.7,4.1,0,1
Maurice Cheeks,PHI,79,36,17,36.3,13.7,3.2,8,2.1,0.3,0.495,0.136,0.825,8.3,0.138,2.7,1.8,0,1
Magic Johnson,LAL,72,62,1,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199,4.9,5.3,1,1
Karl Malone,UTA,82,47,9,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152,3.7,2.5,1,1
Fat Lever,DEN,82,54,3,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,6.2,6.1,0,1
Hakeem Olajuwon,HOU,79,46,10,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182,5,5,1,1
Alex English,DEN,80,54,3,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129,2.5,1.4,0,1
Clyde Drexler,POR,81,53,6,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,7.3,7.4,1,1
Kareem Abdul-Jabbar,LAL,80,62,1,28.9,14.6,6,1.7,0.6,1.2,0.532,0,0.762,5.3,0.111,0.8,-0.6,0,1
James Worthy,LAL,75,62,1,35.4,19.7,5,3.9,1,0.7,0.531,0.125,0.796,7.9,0.143,2.7,2,0,1
Xavier McDaniel,SEA,78,44,11,34.7,21.4,6.6,3.4,1.2,0.7,0.488,0.28,0.715,6.2,0.11,2.6,1.8,0,1
Mark Aguirre,DAL,77,53,5,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163,3.4,3.1,0,1
Alvin Robertson,SAS,82,31,18,36.3,19.6,6.1,6.8,3,0.8,0.465,0.284,0.748,5.8,0.094,4.5,4,0,1
James Donaldson,DAL,81,53,5,31.1,7,9.3,0.8,0.5,1.3,0.558,0,0.778,6.2,0.119,2,1.1,0,1
John Stockton,UTA,82,47,9,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238,4.3,3.9,1,0
John Stockton,UTA,82,51,7,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236,5.5,4.8,1,1
Alex English,DEN,82,44,13,36.5,26.5,4,4.7,0.8,0.1,0.491,0.25,0.858,6.8,0.11,1.3,-0.2,0,1
Karl Malone,UTA,80,51,7,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233,6.5,6.1,1,1
Dale Ellis,SEA,82,47,10,38.9,27.5,4.2,2,1.3,0.3,0.501,0.478,0.816,10.8,0.163,3.3,2.1,1,1
Hakeem Olajuwon,HOU,82,45,12,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197,5.6,5.4,1,1
Clyde Drexler,POR,78,39,17,39.3,27.2,7.9,5.8,2.7,0.7,0.496,0.26,0.799,12.6,0.197,7.2,7.3,0,1
James Worthy,LAL,81,57,3,36.5,20.5,6,3.6,1.3,0.7,0.548,0.087,0.782,9.7,0.158,3.8,3.1,0,1
Tom Chambers,PHO,81,55,4,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146,2.4,1.2,1,1
Chris Mullin,GSW,82,43,14,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165,4.4,3.7,1,1
Kareem Abdul-Jabbar,LAL,74,57,3,22.9,10.1,4.5,1,0.5,1.1,0.475,0,0.739,2.9,0.082,-0.1,-2.3,0,1
Mark Eaton,UTA,82,51,7,35.5,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,0.108,3.7,3,0,1
Kevin Duckworth,POR,79,39,17,33.7,18.1,8,0.8,0.7,0.6,0.477,0,0.757,4.8,0.086,-1.1,-3.7,0,1
Michael Jordan,CHI,81,47,9,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292,12,12.6,1,1
Isiah Thomas,DET,80,63,1,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115,3.1,2.2,0,1
Charles Barkley,PHI,79,46,11,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25,9.2,9.8,1,1
Moses Malone,ATL,81,52,5,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,0.178,3,2.1,0,1
Dominique Wilkins,ATL,80,52,5,37.5,26.2,6.9,2.6,1.5,0.7,0.464,0.276,0.844,10.4,0.166,3.5,2.6,1,1
Mark Price,CLE,75,57,2,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199,3.8,3.5,1,1
Terry Cummings,MIL,80,49,8,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131,2.6,1.7,1,1
Larry Nance,CLE,73,57,2,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197,3.8,4,0,1
Patrick Ewing,NYK,80,52,6,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181,4.9,4.7,1,1
Kevin McHale,BOS,78,42,15,36.9,22.5,8.2,2.2,0.3,1.2,0.546,0,0.818,10.1,0.168,3,2.1,0,1
Mark Jackson,NYK,72,52,6,34.4,16.9,4.7,8.6,1.9,0.1,0.467,0.338,0.698,7.2,0.14,3.3,3.3,0,1
Brad Daugherty,CLE,78,57,2,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,0.164,3.3,2.6,0,1
Magic Johnson,LAL,77,57,3,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267,8.2,9.3,1,1
Kevin Johnson,PHO,81,55,4,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184,4.5,3.5,1,0
Robert Parish,BOS,80,42,15,35.5,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,0.177,4.5,4.2,1,0
Michael Jordan,CHI,82,55,5,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285,10.1,10.6,1,1
Isiah Thomas,DET,81,59,2,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107,3.4,2.5,0,1
Patrick Ewing,NYK,82,45,11,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205,5.2,4.6,1,1
Larry Bird,BOS,75,52,9,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154,6.1,6.1,1,1
Charles Barkley,PHI,79,53,8,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269,9.2,9.8,1,1
Robert Parish,BOS,79,52,9,30.3,15.7,10.1,1.3,0.5,0.9,0.58,0,0.747,7.8,0.157,2.1,1.4,0,1
Kevin McHale,BOS,82,52,9,33.2,20.9,8.3,2.1,0.4,1.9,0.549,0.333,0.893,11.1,0.195,3.9,3.7,0,1
Joe Dumars,DET,75,59,2,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,0.162,2.3,1.5,1,1
Dominique Wilkins,ATL,80,41,17,36.1,26.7,6.5,2.5,1.6,0.6,0.484,0.322,0.807,11.1,0.184,4.2,3.7,0,1
Reggie Miller,IND,82,42,15,38.9,24.6,3.6,3.8,1.3,0.2,0.514,0.414,0.868,12.1,0.182,4.6,3.8,0,1
Scottie Pippen,CHI,82,55,5,38.4,16.5,6.7,5.4,2.6,1.2,0.489,0.25,0.675,5.7,0.087,3.6,2.6,0,1
Dennis Rodman,DET,82,59,2,29,8.8,9.7,0.9,0.6,0.7,0.581,0.111,0.654,9.3,0.189,3.2,3.4,0,1
Hakeem Olajuwon,HOU,82,41,16,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173,6.3,5.9,1,1
Magic Johnson,LAL,79,63,1,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27,8.5,9.5,1,1
James Worthy,LAL,80,63,1,37,21.1,6,3.6,1.2,0.6,0.548,0.306,0.782,10.6,0.172,4.5,4,1,1
John Stockton,UTA,78,55,6,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238,4.5,4.2,1,1
A.C. Green,LAL,82,63,1,33,12.9,8.7,1.1,0.8,0.6,0.478,0.283,0.751,7.7,0.137,1.6,0.4,0,1
David Robinson,SAS,82,56,4,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241,6.4,6.5,1,1
Fat Lever,DEN,79,43,13,35.8,18.3,9.3,6.5,2.1,0.2,0.443,0.414,0.804,8.8,0.149,5.4,5.6,0,1
Tom Chambers,PHO,81,54,7,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176,2.9,1.8,1,1
Rolando Blackman,DAL,80,47,10,36.7,19.4,3.5,3.6,1,0.3,0.498,0.302,0.844,6.8,0.111,1.9,0.5,0,1
Clyde Drexler,POR,73,59,3,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,0.208,6.6,7.9,1,1
Chris Mullin,GSW,78,37,19,36.3,25.1,5.9,4.1,1.6,0.6,0.536,0.372,0.889,10.2,0.174,4.9,4.8,1,1
Kevin Johnson,PHO,74,54,7,37.6,22.5,3.6,11.4,1.3,0.2,0.499,0.195,0.838,11.6,0.2,4,3.7,1,1
Karl Malone,UTA,82,55,6,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245,6.7,6.6,1,1
Michael Jordan,CHI,82,61,2,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321,9.8,10.8,1,1
Charles Barkley,PHI,67,44,12,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258,7.4,9.9,1,1
Patrick Ewing,NYK,81,39,16,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155,4.6,3.9,1,1
Bernard King,WSB,64,30,20,37.5,28.4,5,4.6,0.9,0.3,0.472,0.216,0.79,3.5,0.07,1.3,0.1,1,1
Joe Dumars,DET,80,50,9,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,9.9,0.155,2.9,1.8,1,1
Dominique Wilkins,ATL,81,43,13,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177,5.2,4.7,1,1
Ricky Pierce,MIL,78,48,10,27.8,20.5,2.4,2.2,0.8,0.2,0.485,0.397,0.913,7.9,0.174,1,-0.2,0,1
Hersey Hawkins,PHI,80,44,12,38.9,22.1,3.9,3.7,2.2,0.5,0.472,0.4,0.871,9.8,0.151,4.3,3.5,0,1
Kevin McHale,BOS,68,56,4,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182,2.3,2.5,0,1
Brad Daugherty,CLE,76,33,17,38.8,21.6,10.9,3.3,1,0.6,0.524,0,0.751,9,0.147,3.1,2.2,0,1
Alvin Robertson,MIL,81,48,10,32.1,13.6,5.7,5.5,3,0.2,0.485,0.365,0.757,7.7,0.142,5.3,6.1,0,1
Robert Parish,BOS,81,56,4,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0,0.767,10,0.198,2.3,1.7,0,1
Karl Malone,UTA,82,54,7,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225,6.5,5.8,1,1
Magic Johnson,LAL,79,58,3,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251,7.6,8.3,1,1
Chris Mullin,GSW,82,44,11,40.4,25.7,5.4,4,2.1,0.8,0.536,0.301,0.884,12.2,0.176,5.4,4.5,1,1
Kevin Johnson,PHO,77,55,5,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22,5.1,5.2,1,1
David Robinson,SAS,82,55,6,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264,8.1,8.4,1,1
James Worthy,LAL,78,58,3,38.6,21.4,4.6,3.5,1.3,0.4,0.492,0.289,0.797,9,0.143,3.2,2.3,1,1
Clyde Drexler,POR,82,63,1,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209,6.7,7.3,1,1
Kevin Duckworth,POR,81,63,1,31,15.8,6.6,1.1,0.4,0.4,0.481,0,0.772,4.3,0.082,-0.7,-3.2,0,1
Tom Chambers,PHO,76,55,5,32.6,19.9,6.4,2.6,0.9,0.7,0.437,0.274,0.826,5.4,0.105,0.6,-1.1,0,1
Terry Porter,POR,81,63,1,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235,5.5,6.1,0,1
Tim Hardaway,GSW,82,44,11,39.2,22.9,4,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148,4.9,4,0,1
John Stockton,UTA,82,54,7,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,14,0.217,5,4.4,1,1
Hakeem Olajuwon,HOU,56,52,8,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0,0.769,8.6,0.201,4.3,6.3,1,0
Clyde Drexler,POR,76,57,3,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223,7.2,8.4,1,1
Chris Mullin,GSW,81,55,4,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155,4.6,3.5,1,1
Karl Malone,UTA,81,55,5,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237,5.6,5.3,1,1
David Robinson,SAS,68,47,10,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,7.8,10,1,1
Jeff Hornacek,PHO,81,53,6,38,20.1,5,5.1,2,0.4,0.512,0.439,0.886,11.6,0.181,5.5,5.1,0,1
Tim Hardaway,GSW,81,55,4,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132,3.9,2.6,1,1
Hakeem Olajuwon,HOU,70,42,14,37.7,21.6,12.1,2.2,1.8,4.3,0.502,0,0.766,9.8,0.178,4.7,5,0,1
John Stockton,UTA,82,55,5,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215,5.3,5.1,1,1
James Worthy,LAL,54,43,13,39,19.9,5.6,4.7,1.4,0.4,0.447,0.209,0.814,3.1,0.07,1.5,0.7,0,1
Dan Majerle,PHO,82,53,6,34.8,17.3,5.9,3.3,1.6,0.5,0.478,0.382,0.756,9.8,0.165,4.4,4.1,0,1
Dikembe Mutombo,DEN,71,24,24,38.3,16.6,12.3,2.2,0.6,3,0.493,0,0.642,4.8,0.086,2.3,1.4,0,1
Otis Thorpe,HOU,82,42,14,37.3,17.3,10.5,3,0.6,0.5,0.592,0,0.657,8.9,0.14,3.5,2.5,0,1
Michael Jordan,CHI,80,67,1,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,8.3,8.6,1,1
Isiah Thomas,DET,78,48,9,37.4,18.5,3.2,7.2,1.5,0.2,0.446,0.291,0.772,5.8,0.095,2.1,0.8,0,1
Charles Barkley,PHI,75,35,19,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205,6.9,7.4,1,1
Scottie Pippen,CHI,82,67,1,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192,6.8,6.5,1,1
Patrick Ewing,NYK,82,51,8,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198,4.8,4,1,1
Dennis Rodman,DET,82,48,9,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,5.8,4.9,1,1
Joe Dumars,DET,82,48,9,38.9,19.9,2.3,4.6,0.9,0.1,0.448,0.408,0.867,8.2,0.123,1.6,0,0,1
Reggie Lewis,BOS,82,51,7,37.4,20.8,4.8,2.3,1.5,1.3,0.503,0.238,0.851,9.1,0.143,3.4,2.4,0,1
Brad Daugherty,CLE,73,57,2,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213,4.7,5,1,1
Mark Price,CLE,72,57,2,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,3.1,3.8,1,1
Michael Adams,WSB,78,25,23,35.8,18.1,4,7.6,1.9,0.1,0.393,0.324,0.869,5.3,0.09,2.6,1.7,0,1
Kevin Willis,ATL,81,38,18,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143,2.2,1,1,1
Kevin Johnson,PHO,78,53,6,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165,3.1,2.2,1,0
Karl Malone,UTA,82,47,10,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238,7.6,7.6,1,1
Charles Barkley,PHO,76,62,1,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,7.5,8.3,1,1
John Stockton,UTA,82,47,10,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177,3.8,3.3,1,1
David Robinson,SAS,82,49,8,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197,7,6.7,1,1
Clyde Drexler,POR,49,51,7,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171,3.4,6.1,0,1
Dan Majerle,PHO,82,62,1,39,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,9.8,0.147,4.9,4,0,1
Tim Hardaway,GSW,66,34,21,39.5,21.5,4,10.6,1.8,0.2,0.447,0.33,0.744,7.5,0.138,3.2,2.8,1,1
Hakeem Olajuwon,HOU,82,55,4,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234,8.5,8.4,1,1
Terry Porter,POR,81,51,7,35.6,18.2,3.9,5.2,1.2,0.1,0.454,0.414,0.843,8.8,0.147,3.2,2.4,0,1
Danny Manning,LAC,79,41,15,34.9,22.8,6.6,2.6,1.4,1.3,0.509,0.267,0.802,7.9,0.137,2.9,2.1,0,1
Sean Elliott,SAS,70,49,8,37.2,17.2,4.6,3.8,1,0.4,0.491,0.356,0.795,6.1,0.113,2.3,1.6,0,1
Shawn Kemp,SEA,78,55,5,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169,3.4,3.2,0,1
Michael Jordan,CHI,78,57,3,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27,8.9,9.5,1,1
Isiah Thomas,DET,79,40,17,37,17.6,2.9,8.5,1.6,0.2,0.418,0.308,0.737,3.7,0.061,1.6,0.2,0,1
Scottie Pippen,CHI,81,57,3,38.6,18.6,7.7,6.3,2.1,0.9,0.473,0.237,0.663,8.6,0.132,5,4.3,1,1
Shaquille O'Neal,ORL,81,41,16,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,4.4,3.7,0,1
Larry Johnson,CHH,82,44,11,40.5,22.1,10.5,4.3,0.6,0.3,0.526,0.254,0.767,9.6,0.139,4.6,3.4,1,1
Patrick Ewing,NYK,81,60,2,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17,3.2,2.2,1,1
Mark Price,CLE,75,54,6,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197,3.1,3.2,1,1
Brad Daugherty,CLE,71,54,6,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226,4.9,5.2,0,1
Dominique Wilkins,ATL,71,43,12,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191,3.7,3.6,1,1
Joe Dumars,DET,77,40,17,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141,2.6,1.4,1,1
Detlef Schrempf,IND,82,41,14,37.8,19.1,9.5,6,1,0.3,0.476,0.154,0.804,10.4,0.161,4.8,4.1,0,1
Larry Nance,CLE,77,54,6,35.8,16.5,8.7,2.9,0.7,2.6,0.549,0,0.818,10.7,0.187,4.4,4.4,0,1
Derrick Coleman,NJN,76,43,13,36.3,20.7,11.2,3.6,1.2,1.7,0.46,0.232,0.808,9.5,0.165,4.8,4.8,1,0
Drazen Petrovic,NJN,70,43,13,38,22.3,2.7,3.5,1.3,0.2,0.518,0.449,0.87,8.4,0.152,2.7,2,1,0
Scottie Pippen,CHI,72,55,6,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194,7.2,8.3,1,1
Shaquille O'Neal,ORL,81,50,10,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252,7.1,6.6,1,1
B.J. Armstrong,CHI,82,55,6,33.8,14.8,2.1,3.9,1,0.1,0.476,0.444,0.855,7.5,0.13,0.8,-0.9,0,1
Derrick Coleman,NJN,77,45,14,36.1,20.2,11.3,3.4,0.9,1.8,0.447,0.314,0.774,9.9,0.171,4.5,4.5,1,1
Kenny Anderson,NJN,82,45,14,38.2,18.8,3.9,9.6,1.9,0.2,0.417,0.303,0.818,7.5,0.114,3.2,2.1,0,1
Patrick Ewing,NYK,79,57,4,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211,4.9,4.5,0,1
Mark Price,CLE,76,47,11,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201,3.9,4.6,1,1
John Starks,NYK,59,57,4,34.9,19,3.1,5.9,1.6,0.1,0.42,0.335,0.754,5.8,0.135,2.4,2.7,0,1
Dominique Wilkins,ATL,74,57,3,35.6,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153,1.9,0.9,1,1
Horace Grant,CHI,70,55,6,36.7,15.1,11,3.4,1.1,1.2,0.524,0,0.596,10,0.188,4.6,5.2,0,1
Mookie Blaylock,ATL,81,57,3,36,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168,5.4,5.3,0,1
Charles Oakley,NYK,82,57,4,35.8,11.8,11.8,2.7,1.3,0.2,0.478,0,0.776,10.5,0.172,4.4,4,0,1
Hakeem Olajuwon,HOU,80,58,2,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,7.5,7,1,1
Mitch Richmond,SAC,78,28,20,37.1,23.4,3.7,4,1.3,0.2,0.445,0.407,0.834,6.4,0.106,2.3,1.2,1,1
Shawn Kemp,SEA,79,63,1,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216,5.6,6.5,1,1
Karl Malone,UTA,82,53,8,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193,6.9,6.3,1,1
Clyde Drexler,POR,68,47,13,34.3,19.2,6.5,4.9,1.4,0.5,0.428,0.324,0.777,6.8,0.14,3.5,3.9,0,1
John Stockton,UTA,82,53,8,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214,4.8,4.4,1,1
David Robinson,SAS,80,55,7,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296,10.6,10.9,1,1
Clifford Robinson,POR,82,47,13,34.8,20.1,6.7,1.9,1.4,1.4,0.457,0.245,0.765,7.5,0.126,1.9,0.6,0,1
Danny Manning,LAC,68,27,21,37.1,20.6,6.8,3.8,1.5,1.2,0.488,0.176,0.669,3.5,0.066,1.7,0.6,0,1
Gary Payton,SEA,82,63,1,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155,3.5,2.8,1,1
Latrell Sprewell,GSW,82,50,9,43.1,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,0.108,3.6,2,1,1
Kevin Johnson,PHO,67,56,5,36.6,20,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17,1.8,0.9,1,1
Charles Barkley,PHO,65,56,5,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185,4.5,5.7,1,1
Hakeem Olajuwon,HOU,72,47,11,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181,5.3,5.3,1,1
Charles Barkley,PHO,68,59,3,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214,5.1,6.4,1,1
Shawn Kemp,SEA,82,57,5,32.7,18.7,10.9,1.8,1.2,1.5,0.547,0.286,0.749,10.6,0.19,3.5,3.1,1,1
Latrell Sprewell,GSW,69,26,23,40.2,20.6,3.7,4,1.6,0.7,0.418,0.276,0.781,2,0.034,0.7,-1.1,0,1
Dan Majerle,PHO,82,59,3,37.7,15.6,4.6,4.1,1.2,0.5,0.425,0.363,0.73,7.7,0.12,3.9,3,0,1
Gary Payton,SEA,82,57,5,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187,5,4.5,1,1
Mitch Richmond,SAC,82,39,16,38.7,22.8,4.4,3.8,1.1,0.4,0.446,0.368,0.843,8,0.12,3,1.8,1,1
Dikembe Mutombo,DEN,82,41,15,37.8,11.5,12.5,1.4,0.5,3.9,0.556,0,0.654,8.7,0.135,4.3,3.5,0,1
Detlef Schrempf,SEA,82,57,5,35.2,19.2,6.2,3.8,1.1,0.4,0.523,0.514,0.839,12.9,0.215,4.7,4.5,1,1
Karl Malone,UTA,82,60,2,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212,6.1,5.8,1,1
David Robinson,SAS,81,62,1,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,8.1,8.4,1,1
John Stockton,UTA,82,60,2,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233,5.4,5.5,1,1
Anfernee Hardaway,ORL,77,57,4,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177,4.5,4.2,1,1
Scottie Pippen,CHI,79,47,10,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188,7.4,7.8,1,1
Shaquille O'Neal,ORL,79,57,4,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23,5.4,5.4,1,1
Reggie Miller,IND,81,52,7,32.9,19.6,2.6,3,1.2,0.2,0.462,0.415,0.897,11.4,0.204,4.3,4.3,1,1
Grant Hill,DET,70,28,22,38.3,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,5.4,0.097,2.6,1.8,0,1
